dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
nursery,spec_prior,0.9,10,1,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,1,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,10,1,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,1,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,10,5,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,10,5,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,10,5,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,5,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,10,5,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,5,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,10,20,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,10,20,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,10,20,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,20,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,10,20,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,10,20,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,20,1,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,20,1,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,20,1,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,1,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,20,1,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,1,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,20,5,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,20,5,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,20,5,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,5,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,20,5,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,5,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,20,20,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,20,20,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,20,20,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,20,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,20,20,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,20,20,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,none,1,8,vsf,0.2114,0.9894,1.0,2.0,10,1.4
nursery,spec_prior,0.9,none,1,32,vsf,0.4228,0.9895,1.0,18.0,10,1.4
nursery,spec_prior,0.9,none,1,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.4
nursery,spec_prior,0.9,none,1,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.4
nursery,spec_prior,0.9,none,1,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.4
nursery,spec_prior,0.9,none,1,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.4
nursery,spec_prior,0.9,none,5,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,none,5,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,none,5,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,none,5,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,none,5,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,none,5,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,spec_prior,0.9,none,20,8,vsf,0.2114,0.9894,1.0,2.0,10,1.5
nursery,spec_prior,0.9,none,20,32,vsf,0.4228,0.9895,1.0,18.0,10,1.5
nursery,spec_prior,0.9,none,20,8,vsf_partial,0.3727,0.9711,1.0,8.0,10,1.5
