tau,m,selection,method,budget,coverage,coverage_se,purity,purity_reaches_tau,train_union_purity,net_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,stability,conditions
0.7,1,certified,psg_filtered,8,0.2848,0.0424,0.9557,1.0,0.9614,0.2466,-0.0567,0.0511,-0.039,0.0338,0.88,7.84
0.7,1,certified,psg_filtered,16,0.3364,0.0565,0.9233,1.0,0.9442,0.2653,-0.0051,0.0315,-0.0202,0.0276,0.775,14.96
0.7,1,certified,psg_filtered,32,0.3567,0.0535,0.9236,1.0,0.9447,0.2803,0.0152,0.008,-0.0053,0.0158,0.768,30.84
0.7,1,certified,vsf,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.7,1,certified,vsf,2,0.2673,0.0248,0.9618,1.0,,0.2373,0.0,0.0,0.0,0.0,0.978,2.0
0.7,1,certified,vsf,4,0.3415,0.059,0.9456,1.0,,0.2856,0.0,0.0,0.0,0.0,0.763,2.8
0.7,1,certified,vsf,8,0.3415,0.059,0.9456,1.0,,0.2856,0.0,0.0,0.0,0.0,0.763,2.8
0.7,1,certified,vsf,16,0.3415,0.059,0.9456,1.0,,0.2856,0.0,0.0,0.0,0.0,0.763,2.8
0.7,1,certified,vsf,32,0.3415,0.059,0.9456,1.0,,0.2856,0.0,0.0,0.0,0.0,0.763,2.8
0.7,1,certified,rules,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.7,1,certified,rules,2,0.2673,0.0248,0.9618,1.0,,0.2373,0.0,0.0,0.0,0.0,0.978,2.0
0.7,1,certified,rules,4,0.3421,0.0589,0.946,1.0,,0.2861,0.0006,0.0016,0.0006,0.0016,0.767,2.88
0.7,1,certified,rules,8,0.3543,0.0534,0.9269,1.0,,0.2834,0.0129,0.0073,-0.0022,0.0134,0.767,6.36
0.7,1,certified,rules,16,0.3543,0.0534,0.9269,1.0,,0.2834,0.0129,0.0073,-0.0022,0.0134,0.769,6.84
0.7,1,certified,rules,32,0.3543,0.0534,0.9269,1.0,,0.2834,0.0129,0.0073,-0.0022,0.0134,0.769,6.84
0.7,1,certified,tree,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.7,1,certified,tree,2,0.517,0.0259,0.8854,1.0,,0.3574,0.2497,0.0208,0.1202,0.0471,0.987,2.0
0.7,1,certified,tree,4,0.517,0.0259,0.8854,1.0,,0.3574,0.1756,0.0598,0.0719,0.0697,0.987,2.0
0.7,1,certified,tree,8,0.517,0.0259,0.8854,1.0,,0.3574,0.1756,0.0598,0.0719,0.0697,0.987,2.0
0.7,1,certified,tree,16,0.517,0.0259,0.8854,1.0,,0.3574,0.1756,0.0598,0.0719,0.0697,0.987,2.0
0.7,1,certified,tree,32,0.517,0.0259,0.8854,1.0,,0.3574,0.1756,0.0598,0.0719,0.0697,0.987,2.0
